0 GOOD  [ 243.15155, 165.0741, 0.0 ] 52 [ 243.15155, 165.0741, 0.0 ]
0 SHOW  [ 119.5651, 30.449202, 0.0 ] 53 [ 119.5651, 30.449202, 0.0 ]
0 RIGHT  [ 255.5069, 183.39534, 0.0 ] 54 [ 255.5069, 183.39534, 0.0 ]
0 YES  [ 219.00212, 45.267944, 0.0 ] 55 [ 219.00212, 45.267944, 0.0 ]
0 YEAH  [ 74.78448, 182.83885, 0.0 ] 56 [ 74.78448, 182.83885, 0.0 ]
0 TAKES  [ 182.75055, 196.4695, 0.0 ] 57 [ 182.75055, 196.4695, 0.0 ]
0 CRYOGENICS  [ 21.472681, 18.431366, 0.0 ] 58 [ 21.472681, 18.431366, 0.0 ]
0 SMITTY  [ 126.601105, 218.29266, 0.0 ] 59 [ 126.601105, 218.29266, 0.0 ]
0 JOB  [ 79.21529, 3.13315, 0.0 ] 60 [ 79.21529, 3.13315, 0.0 ]
0 LAB  [ 62.82904, 189.78163, 0.0 ] 61 [ 62.82904, 189.78163, 0.0 ]
0 BOOTH  [ 206.87009, 213.25682, 0.0 ] 62 [ 206.87009, 213.25682, 0.0 ]
0 BOY  [ 265.19113, 7.973873, 0.0 ] 63 [ 265.19113, 7.973873, 0.0 ]
0 DELIVERY  [ 44.019337, 218.71078, 0.0 ] 64 [ 44.019337, 218.71078, 0.0 ]
0 URL  [ 214.32465, 4.6234145, 0.0 ] 65 [ 214.32465, 4.6234145, 0.0 ]
0 OPENS  [ 170.68896, 226.47173, 0.0 ] 66 [ 170.68896, 226.47173, 0.0 ]
0 LIFE  [ 248.89078, 223.43224, 0.0 ] 67 [ 248.89078, 223.43224, 0.0 ]
0 NIMOY  [ 52.73828, 18.090868, 0.0 ] 68 [ 52.73828, 18.090868, 0.0 ]
0 BEND  [ 36.07946, 7.6467385, 0.0 ] 69 [ 36.07946, 7.6467385, 0.0 ]
0 HAND  [ 4.8122363, 96.47464, 0.0 ] 70 [ 4.8122363, 96.47464, 0.0 ]
0 YORK  [ 91.25471, 227.4539, 0.0 ] 71 [ 91.25471, 227.4539, 0.0 ]
0 BARS  [ 14.670594, 152.58846, 0.0 ] 72 [ 14.670594, 152.58846, 0.0 ]
0 SEES  [ 131.65996, 205.52475, 0.0 ] 73 [ 131.65996, 205.52475, 0.0 ]
0 WINDOW  [ 278.8323, 13.09352, 0.0 ] 74 [ 278.8323, 13.09352, 0.0 ]
0 CAREER  [ 47.573708, 229.52058, 0.0 ] 75 [ 47.573708, 229.52058, 0.0 ]
0 ALIEN  [ 29.872072, 31.06981, 0.0 ] 76 [ 29.872072, 31.06981, 0.0 ]
0 CALLED  [ 59.058784, 160.39662, 0.0 ] 77 [ 59.058784, 160.39662, 0.0 ]
0 STARTS  [ 248.34012, 1.4047649, 0.0 ] 78 [ 248.34012, 1.4047649, 0.0 ]
0 SPACESHIP  [ 264.1351, 209.67314, 0.0 ] 79 [ 264.1351, 209.67314, 0.0 ]
0 SCREEN  [ 69.110825, 105.73899, 0.0 ] 80 [ 69.110825, 105.73899, 0.0 ]
0 APPLIED  [ 25.51893, 113.335724, 0.0 ] 81 [ 25.51893, 113.335724, 0.0 ]
0 MUSEUM  [ 16.524763, 108.222336, 0.0 ] 82 [ 16.524763, 108.222336, 0.0 ]
0 END  [ 82.061554, 25.273886, 0.0 ] 83 [ 82.061554, 25.273886, 0.0 ]
0 GOTTA  [ 285.3103, 184.67157, 0.0 ] 84 [ 285.3103, 184.67157, 0.0 ]
0 TERRY  [ 58.986397, 149.63638, 0.0 ] 85 [ 58.986397, 149.63638, 0.0 ]
0 STREET  [ 192.13321, 94.87448, 0.0 ] 86 [ 192.13321, 94.87448, 0.0 ]
0 STEPS  [ 203.85202, 104.37863, 0.0 ] 87 [ 203.85202, 104.37863, 0.0 ]
0 HEADS  [ 14.6321125, 166.40923, 0.0 ] 88 [ 14.6321125, 166.40923, 0.0 ]
0 WELCOME  [ 116.57226, 120.73302, 0.0 ] 89 [ 116.57226, 120.73302, 0.0 ]
0 OFFICE  [ 13.264944, 177.58044, 0.0 ] 90 [ 13.264944, 177.58044, 0.0 ]
0 PIZZA  [ 20.120373, 186.06802, 0.0 ] 91 [ 20.120373, 186.06802, 0.0 ]
0 TUBE  [ 121.17068, 228.70699, 0.0 ] 92 [ 121.17068, 228.70699, 0.0 ]
0 CITY  [ 31.169662, 204.59483, 0.0 ] 93 [ 31.169662, 204.59483, 0.0 ]
0 YEARS  [ 214.44615, 227.439, 0.0 ] 94 [ 214.44615, 227.439, 0.0 ]
0 FUTURE  [ 16.25277, 229.49612, 0.0 ] 95 [ 16.25277, 229.49612, 0.0 ]
0 SUICIDE  [ 13.273312, 5.6842437, 0.0 ] 96 [ 13.273312, 5.6842437, 0.0 ]
0 LASER  [ 15.066632, 215.61876, 0.0 ] 97 [ 15.066632, 215.61876, 0.0 ]
0 PROGRAMMED  [ 89.83297, 219.80661, 0.0 ] 98 [ 89.83297, 219.80661, 0.0 ]
0 INSIDE  [ 217.84483, 21.688461, 0.0 ] 99 [ 217.84483, 21.688461, 0.0 ]
1 FRY  [ 127.639694, 32.711014, 0.0 ] 0 [ 127.639694, 32.711014, 0.0 ]
1 LEELA  [ 233.08682, 53.69385, 0.0 ] 1 [ 233.08682, 53.69385, 0.0 ]
1 BENDER  [ 91.15341, 66.96169, 0.0 ] 2 [ 91.15341, 66.96169, 0.0 ]
1 AMY  [ 155.91524, 110.98901, 0.0 ] 3 [ 155.91524, 110.98901, 0.0 ]
1 CUT  [ 157.16304, 168.23813, 0.0 ] 4 [ 157.16304, 168.23813, 0.0 ]
1 LIKE  [ 133.03357, 14.466526, 0.0 ] 5 [ 133.03357, 14.466526, 0.0 ]
1 PLANET  [ 206.57146, 176.8093, 0.0 ] 6 [ 206.57146, 176.8093, 0.0 ]
