3 ship  [ 160.78842, 188.78058, 0.0 ] 10 [ 160.78842, 188.78058, 0.0 ]
3 animal  [ 89.57817, 214.72713, 0.0 ] 11 [ 89.57817, 214.72713, 0.0 ]
3 nimbus  [ 143.59929, 92.616844, 0.0 ] 12 [ 143.59929, 92.616844, 0.0 ]
3 captain  [ 160.81215, 57.06535, 0.0 ] 13 [ 160.81215, 57.06535, 0.0 ]
3 vergon  [ 130.64714, 103.45733, 0.0 ] 14 [ 130.64714, 103.45733, 0.0 ]
4 robot  [ 166.2804, 76.77182, 0.0 ] 0 [ 166.2804, 76.77182, 0.0 ]
4 fry  [ 25.395834, 182.20644, 0.0 ] 1 [ 25.395834, 182.20644, 0.0 ]
4 bender  [ 76.38738, 49.351383, 0.0 ] 2 [ 76.38738, 49.351383, 0.0 ]
4 leela  [ 230.67152, 116.03467, 0.0 ] 3 [ 230.67152, 116.03467, 0.0 ]
4 human  [ 128.95598, 173.27586, 0.0 ] 4 [ 128.95598, 173.27586, 0.0 ]
4 like  [ 166.77405, 53.779144, 0.0 ] 5 [ 166.77405, 53.779144, 0.0 ]
4 just  [ 106.64761, 137.25943, 0.0 ] 6 [ 106.64761, 137.25943, 0.0 ]
4 oh  [ 126.574455, 44.94756, 0.0 ] 7 [ 126.574455, 44.94756, 0.0 ]
4 come  [ 159.99992, 117.93879, 0.0 ] 8 [ 159.99992, 117.93879, 0.0 ]
4 get  [ 134.19226, 150.23921, 0.0 ] 9 [ 134.19226, 150.23921, 0.0 ]
4 now  [ 266.5514, 116.01655, 0.0 ] 10 [ 266.5514, 116.01655, 0.0 ]
4 farnsworth  [ 50.87989, 80.26272, 0.0 ] 11 [ 50.87989, 80.26272, 0.0 ]
4 elder  [ 28.211916, 101.308685, 0.0 ] 12 [ 28.211916, 101.308685, 0.0 ]
4 go  [ 154.44902, 129.99408, 0.0 ] 13 [ 154.44902, 129.99408, 0.0 ]
4 blue  [ 168.58395, 150.94835, 0.0 ] 14 [ 168.58395, 150.94835, 0.0 ]
5 governor  [ 135.20337, 96.21394, 0.0 ] 0 [ 135.20337, 96.21394, 0.0 ]
5 make  [ 160.0002, 117.57552, 0.0 ] 1 [ 160.0002, 117.57552, 0.0 ]
5 going  [ 189.0843, 145.06328, 0.0 ] 2 [ 189.0843, 145.06328, 0.0 ]
5 now  [ 266.04758, 104.41492, 0.0 ] 3 [ 266.04758, 104.41492, 0.0 ]
5 romney  [ 110.26481, 86.42392, 0.0 ] 4 [ 110.26481, 86.42392, 0.0 ]
5 got  [ 93.31519, 52.081512, 0.0 ] 5 [ 93.31519, 52.081512, 0.0 ]
5 know  [ 188.21783, 172.5659, 0.0 ] 6 [ 188.21783, 172.5659, 0.0 ]
5 cut  [ 118.774315, 23.937685, 0.0 ] 7 [ 118.774315, 23.937685, 0.0 ]
5 people  [ 197.38374, 75.24427, 0.0 ] 8 [ 197.38374, 75.24427, 0.0 ]
5 want  [ 200.3386, 54.17725, 0.0 ] 9 [ 200.3386, 54.17725, 0.0 ]
5 just  [ 81.8072, 153.6166, 0.0 ] 10 [ 81.8072, 153.6166, 0.0 ]
5 sure  [ 90.17863, 86.172325, 0.0 ] 11 [ 90.17863, 86.172325, 0.0 ]
5 tax  [ 198.9638, 196.00598, 0.0 ] 12 [ 198.9638, 196.00598, 0.0 ]
5 think  [ 112.5806, 187.57411, 0.0 ] 13 [ 112.5806, 187.57411, 0.0 ]
5 way  [ 130.8778, 146.58904, 0.0 ] 14 [ 130.8778, 146.58904, 0.0 ]
6 make  [ 159.98979, 114.415565, 0.0 ] 0 [ 159.98979, 114.415565, 0.0 ]
